"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Логин с некорректным логином и некорректным паролем","Surefire suite","Sun May 24 14:56:23 UTC 2026","unknown","Sun May 24 14:56:23 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"","1","Логин с пустым логином и корректным паролем","Surefire suite","Sun May 24 14:56:22 UTC 2026","unknown","Sun May 24 14:56:22 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Логин с корректными логином и паролем","3906","Логин с корректными логином и паролем","Surefire suite","Sun May 24 14:56:45 UTC 2026","passed","Sun May 24 14:56:49 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithCorrectCred"
"Логин с пустыми и некорректными логином и паролем","634","Логин с пустыми и некорректными логином и паролем","Surefire suite","Sun May 24 14:56:50 UTC 2026","passed","Sun May 24 14:56:50 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Изменение кнопки ""Remove"" при удалении товара из корзины","705","Изменение кнопки ""Remove"" при удалении товара из корзины","Surefire suite","Sun May 24 14:57:06 UTC 2026","passed","Sun May 24 14:57:07 UTC 2026","tests.ProductsTest","Surefire test","tests.ProductsTest","checkChangingButtonRemove"
"Логин с пустыми и некорректными логином и паролем","575","Логин с пустыми и некорректными логином и паролем","Surefire suite","Sun May 24 14:56:51 UTC 2026","passed","Sun May 24 14:56:51 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Количество продуктов на странице","805","Количество продуктов на странице","Surefire suite","Sun May 24 14:57:07 UTC 2026","passed","Sun May 24 14:57:08 UTC 2026","tests.ProductsTest","Surefire test","tests.ProductsTest","checkProductsPage"
"Логин с корректным логином и пустым паролем","0","Логин с корректным логином и пустым паролем","Surefire suite","Sun May 24 14:56:23 UTC 2026","unknown","Sun May 24 14:56:23 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Изменение кнопки ""Add to Cart"" при добавлении товара в корзину","681","Изменение кнопки ""Add to Cart"" при добавлении товара в корзину","Surefire suite","Sun May 24 14:57:05 UTC 2026","passed","Sun May 24 14:57:06 UTC 2026","tests.ProductsTest","Surefire test","tests.ProductsTest","checkChangingButtonAddTOCart"
"Добавление/удаление товара из корзины","10956","checkCart","Surefire suite","Sun May 24 14:56:52 UTC 2026","passed","Sun May 24 14:57:03 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","916","Практика написания локаторов","Surefire suite","Sun May 24 14:57:04 UTC 2026","passed","Sun May 24 14:57:05 UTC 2026","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Логин с пустыми и некорректными логином и паролем","562","Логин с пустыми и некорректными логином и паролем","Surefire suite","Sun May 24 14:56:52 UTC 2026","passed","Sun May 24 14:56:52 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
